epoch,relu-train,gelu-train,silu-train,identity-train,zailusigma0.01-train,zailusigma0.05-train,zailusigma0.1-train,zailusigma0.5-train,zailusigma1.0-train,zailusigma5.0-train,zailusigma10.0-train,zailusigma50.0-train,zailusigma100.0-train,zailusigma500.0-train,zailusigma1000.0-train,zailuapproxsigma0.01-train,zailuapproxsigma0.05-train,zailuapproxsigma0.1-train,zailuapproxsigma0.5-train,zailuapproxsigma1.0-train,zailuapproxsigma5.0-train,zailuapproxsigma10.0-train,zailuapproxsigma50.0-train,zailuapproxsigma100.0-train,zailuapproxsigma500.0-train,zailuapproxsigma1000.0-train
1,4.84447747,4.88571902,4.97029905,5.13996043,5.08892152,5.09686548,5.09332834,5.02450431,4.91542743,4.80867299,4.81723842,4.83432622,4.84264971,4.84506204,4.84373876,5.09299593,5.09553143,5.08758866,5.02733498,4.92942501,4.82172994,4.81458331,4.82697347,4.83949458,4.84744297,4.85015255
2,3.49789459,3.48659918,3.55230641,3.87333883,3.84251668,3.8471307,3.82957761,3.72098054,3.59062808,3.48980021,3.49054777,3.49722792,3.50155507,3.50213278,3.5038529,3.84151803,3.84387887,3.83754308,3.73891279,3.62671522,3.50459949,3.49479128,3.49673319,3.49702064,3.4975776,3.49734021
3,3.24904757,3.22355689,3.2673422,3.61881144,3.60106521,3.60430434,3.58953575,3.43397588,3.31378168,3.24287714,3.24177714,3.24920862,3.25158488,3.25282845,3.25412489,3.59676012,3.60238818,3.59774119,3.45602161,3.3479896,3.25449327,3.2475908,3.25101355,3.24858148,3.24884443,3.2482991
4,3.119226,3.08658848,3.12278254,3.49132133,3.47742173,3.48069604,3.46717245,3.2864022,3.17057292,3.11379606,3.11198732,3.11957518,3.12051511,3.12287724,3.12375691,3.47391448,3.47948589,3.47412618,3.30538081,3.2022049,3.12352757,3.11826006,3.12275458,3.11932621,3.1189602,3.11923105
5,3.0336543,2.99429332,3.02741619,3.40982973,3.39809724,3.40086514,3.38851594,3.19205567,3.07811181,3.02857151,3.02623835,3.03400375,3.03421019,3.03736568,3.03756459,3.39484167,3.40004163,3.39430277,3.20720307,3.1080816,3.03716437,3.03238564,3.03750028,3.03369421,3.032829,3.03373347
6,2.97072347,2.92552658,2.95797846,3.35150443,3.3411664,3.3436582,3.33279975,3.1244214,3.01091535,2.96546141,2.96301298,2.9711637,2.97078216,2.97427276,2.97400174,3.33845228,3.34305446,3.33710225,3.13685148,3.04003539,2.97369812,2.96900993,2.97445227,2.97055371,2.9695584,2.97070384
7,2.92054875,2.87076677,2.90285883,3.30647008,3.29726288,3.29950661,3.2896728,3.07197475,2.9579633,2.91488194,2.91223862,2.92094445,2.92001648,2.92408168,2.92335733,3.29503515,3.29922825,3.29271963,3.08242785,2.98645669,2.92312257,2.91869952,2.92413724,2.92029239,2.91931607,2.92080575
8,2.8782554,2.82429253,2.85673832,3.26978352,3.26149543,3.26351627,3.25440368,3.02894247,2.9138951,2.87226887,2.86967814,2.87872845,2.87760517,2.88187929,2.88086303,3.25920794,3.2630554,3.2565821,3.03761255,2.94210395,2.88038491,2.87574494,2.88144504,2.87785098,2.87673266,2.87835105
9,2.84096887,2.78333577,2.81626433,3.23847241,3.23079218,3.23274228,3.22441908,2.99217807,2.87523155,2.83458287,2.83178944,2.84122962,2.83999206,2.84444278,2.8433041,3.22873981,3.23227856,3.22542482,2.99951268,2.90348368,2.84262707,2.83804733,2.8438055,2.84008034,2.83930316,2.84109019
10,2.80628534,2.74584836,2.77955704,3.21028623,3.20303489,3.20502455,3.19711081,2.95852702,2.83978015,2.79936357,2.79645637,2.80662137,2.80516031,2.80983684,2.80847405,3.20128139,3.20458479,3.19779287,2.964867,2.86802617,2.80768747,2.80301019,2.80894895,2.80542821,2.80458178,2.80646543
11,2.77343676,2.71078866,2.7453046,3.18467343,3.17782237,3.17948778,3.17216522,2.92752646,2.80650933,2.76620754,2.76347926,2.77376363,2.77229736,2.77714379,2.77538812,3.17610289,3.17907785,3.17240354,2.93283348,2.83491486,2.77454111,2.76989744,2.77589651,2.7726048,2.77181854,2.77367694
12,2.74144305,2.67701338,2.71261421,3.1600129,3.15366068,3.15528259,3.14838847,2.89786136,2.77424931,2.73369124,2.73088478,2.74176468,2.74001857,2.74501586,2.74333763,3.15220627,3.15488818,3.14795171,2.90242441,2.80281939,2.7423402,2.73743896,2.74364993,2.74032835,2.73987763,2.74164945
13,2.7093998,2.64398364,2.68061273,3.13632851,3.13019514,3.13166358,3.12524711,2.86883481,2.74225202,2.70119338,2.69839377,2.7096176,2.7078557,2.71303904,2.71117942,3.12873439,3.13120193,3.12437152,2.87229238,2.77112964,2.70999325,2.70495415,2.71129753,2.7080246,2.70758749,2.70945834
14,2.67673238,2.61104691,2.64891983,3.11298536,3.10696796,3.10846127,3.10235339,2.83998314,2.71007402,2.66837916,2.66551747,2.67710229,2.67499803,2.68061431,2.67841938,3.10546914,3.10786579,3.10121015,2.8425379,2.73914334,2.67724953,2.67201504,2.67843863,2.67524532,2.6750658,2.67685653
15,2.64302806,2.57771722,2.61688578,3.08945671,3.08358992,3.08488024,3.07902672,2.81046011,2.6768927,2.63432173,2.63135828,2.64354362,2.64115703,2.64682942,2.64455484,3.08229393,3.08467137,3.07777955,2.81200751,2.70629994,2.64348791,2.63828909,2.64467121,2.64143025,2.64149994,2.64325969
16,2.60823809,2.54399798,2.58456394,3.06574378,3.05999888,3.06132521,3.05567485,2.78047522,2.64284392,2.59924516,2.59623723,2.60871886,2.60617164,2.61214492,2.60974981,3.05871397,3.06098992,3.05417645,2.78081416,2.67238692,2.60853812,2.60331602,2.60975394,2.60656818,2.60665832,2.60839554
17,2.571909,2.50947557,2.55145888,3.04161439,3.03592686,3.03707909,3.0317551,2.7493445,2.60726499,2.56260436,2.55962514,2.57245813,2.56965166,2.57597254,2.57319094,3.03475192,3.03682739,3.02994703,2.74859293,2.63703506,2.57203898,2.56667574,2.57327457,2.57004766,2.57018485,2.57203293
18,2.53429443,2.47452584,2.51788222,3.0170002,3.01129087,3.01257629,3.00739833,2.71743652,2.57039593,2.52472042,2.52165218,2.53499693,2.53189895,2.53840057,2.53557885,3.01024884,3.01232882,3.00552637,2.7150359,2.60023913,2.5340764,2.52877652,2.53558253,2.53235248,2.53268828,2.53433953
19,2.49613272,2.43958049,2.48404193,2.99216554,2.98655849,2.98781573,2.98274227,2.68458687,2.5324515,2.48589645,2.48303956,2.49703411,2.49359112,2.50039881,2.49740525,2.98533746,2.98750157,2.98071314,2.68066331,2.56244024,2.49534688,2.49010537,2.49724041,2.49407511,2.4945509,2.49615802
20,2.45978247,2.40578588,2.45116117,2.96819291,2.96260227,2.96396582,2.95894701,2.65230055,2.49507343,2.44839001,2.44582792,2.46064438,2.45701758,2.46404564,2.46082671,2.96159442,2.96370616,2.95669537,2.64707105,2.52530064,2.45763557,2.45292793,2.46082096,2.4577359,2.45829471,2.45987234
